Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Christian Mandrou,7038,11.63,6.88,12.13,1.88,51.23,15.12,40.62,4.2,58.12,299.32,https://www.decathlon2000.com/735/talence-1993/
Dan O'Brien,8710,10.43,7.75,15.81,2.06,48.06,13.91,48.88,5.2,59.56,296.58,https://www.decathlon2000.com/736/talence-1994/
Eduard Hämäläinen,8459,10.69,6.81,15.4,2.09,47.69,14.0,52.2,4.8,55.0,272.01,https://www.decathlon2000.com/736/talence-1994/
Alain Blondel,8439,11.07,7.53,13.58,1.94,48.21,14.29,46.42,5.0,65.18,255.64,https://www.decathlon2000.com/736/talence-1994/
Henrik Dagard,8403,10.82,7.37,14.8,1.97,47.25,14.24,43.24,5.0,66.34,279.91,https://www.decathlon2000.com/736/talence-1994/
Steve Fritz,8343,10.92,7.5,14.68,2.0,49.68,14.2,44.7,4.9,67.46,278.91,https://www.decathlon2000.com/736/talence-1994/
Stefan Schmid,8309,11.01,7.83,13.55,2.0,49.15,14.46,39.84,4.8,71.68,271.45,https://www.decathlon2000.com/736/talence-1994/
William Motti,8224,11.62,7.13,16.33,2.12,51.08,15.01,51.88,4.9,68.92,295.11,https://www.decathlon2000.com/736/talence-1994/
Christian Plaziat,8199,11.14,7.46,14.7,2.06,49.18,14.31,43.98,5.0,56.08,278.31,https://www.decathlon2000.com/736/talence-1994/
Kip Janvrin,8138,11.09,6.97,14.36,1.88,48.67,14.98,46.7,4.9,62.78,254.06,https://www.decathlon2000.com/736/talence-1994/
Sebastien Levicq,8018,11.34,7.34,13.44,1.94,51.36,14.83,42.88,5.1,72.22,279.56,https://www.decathlon2000.com/736/talence-1994/
Vitali Kolpakov,7998,11.23,7.38,14.79,2.09,48.49,14.53,44.56,4.6,57.34,296.48,https://www.decathlon2000.com/736/talence-1994/
Ramil Ganiyev,7883,11.16,7.08,13.97,2.09,49.83,14.46,42.22,5.1,52.04,292.63,https://www.decathlon2000.com/736/talence-1994/
Eduard Hämäläinen,8430,10.96,7.29,15.69,2.0,48.14,14.47,48.34,5.1,59.68,274.54,https://www.decathlon2000.com/737/talence-1995/
Lev Lobodin,8286,10.96,7.38,15.48,2.06,49.29,14.26,42.48,4.9,59.0,272.91,https://www.decathlon2000.com/737/talence-1995/
Alain Blondel,8282,11.03,7.53,12.89,1.91,48.98,14.35,46.04,5.0,65.74,263.68,https://www.decathlon2000.com/737/talence-1995/
Sebastien Levicq,8273,11.16,7.28,14.52,1.97,51.18,14.59,42.02,5.5,68.1,271.13,https://www.decathlon2000.com/737/talence-1995/
Jon Arnar Magnusson,8248,10.79,7.67,14.3,1.94,48.11,14.24,46.62,4.8,62.94,295.11,https://www.decathlon2000.com/737/talence-1995/
Christian Plaziat,8217,11.1,7.33,14.65,2.0,49.56,14.15,46.72,5.0,55.54,270.43,https://www.decathlon2000.com/737/talence-1995/
Ricky Barker,8198,10.8,7.44,14.7,2.06,49.25,14.38,42.6,5.1,57.38,291.48,https://www.decathlon2000.com/737/talence-1995/
Erki Nool,8149,10.7,7.71,14.59,1.85,48.26,15.21,40.94,5.3,64.46,295.91,https://www.decathlon2000.com/737/talence-1995/
Tomaš Dvorak,8009,11.01,7.16,14.35,1.94,49.39,14.17,43.16,4.6,60.08,269.74,https://www.decathlon2000.com/737/talence-1995/
Ramil Ganiyev,7862,11.01,7.48,14.07,2.03,49.52,14.43,44.36,5.0,50.66,312.44,https://www.decathlon2000.com/737/talence-1995/
Eduard Hämäläinen,8478,10.89,7.29,16.4,2.04,47.62,14.18,46.88,4.95,56.8,273.15,https://www.decathlon2000.com/738/talence-1996/
Tomaš Dvorak,8456,10.84,7.42,15.14,2.04,48.46,13.79,45.48,4.55,65.64,270.4,https://www.decathlon2000.com/738/talence-1996/
Robert Zmelik,8425,10.8,7.55,14.46,1.95,48.49,13.97,44.62,5.05,64.94,277.55,https://www.decathlon2000.com/738/talence-1996/
Sebastien Levicq,8393,11.12,7.27,14.26,1.98,50.14,14.23,43.9,5.45,68.1,270.09,https://www.decathlon2000.com/738/talence-1996/
Ramil Ganiyev,8285,10.85,7.51,14.55,2.16,49.84,14.33,44.8,5.15,53.46,288.97,https://www.decathlon2000.com/738/talence-1996/
Steve Fritz,8242,11.02,7.35,15.31,2.04,50.84,13.99,47.92,4.85,62.74,290.36,https://www.decathlon2000.com/738/talence-1996/
Erki Nool,8234,10.92,7.51,14.49,1.98,47.35,14.65,35.9,5.25,65.3,283.99,https://www.decathlon2000.com/738/talence-1996/
Jon Arnar Magnusson,8217,10.8,7.34,15.88,2.04,47.39,14.3,38.16,4.85,61.08,291.49,https://www.decathlon2000.com/738/talence-1996/
Kamil Damašek,8105,11.13,6.99,15.71,1.98,47.5,14.88,44.26,4.85,55.66,268.1,https://www.decathlon2000.com/738/talence-1996/
Christian Plaziat,8026,11.22,7.31,14.32,2.07,49.54,14.37,43.78,4.55,56.1,268.99,https://www.decathlon2000.com/738/talence-1996/
Rojs Piziks,7570,11.71,6.86,14.43,2.13,52.17,15.56,42.58,4.85,50.16,272.67,https://www.decathlon2000.com/738/talence-1996/
Jean Galfione,7206,11.14,6.62,11.44,1.95,48.96,15.74,32.86,5.75,43.36,304.2,https://www.decathlon2000.com/738/talence-1996/
Chris Huffins,8425,10.29,7.84,14.83,2.07,48.18,13.83,51.92,4.8,52.02,318.4,https://www.decathlon2000.com/739/talence-1997/
Tomaš Dvorak,8380,10.82,7.5,15.94,1.98,49.02,14.03,45.5,4.6,69.66,288.22,https://www.decathlon2000.com/739/talence-1997/
Erki Nool,8353,10.64,7.77,14.58,1.89,47.63,14.4,38.32,5.4,64.08,288.96,https://www.decathlon2000.com/739/talence-1997/
Roman Šebrle,8301,10.9,7.62,14.47,2.07,48.15,14.53,45.06,4.4,68.62,284.52,https://www.decathlon2000.com/739/talence-1997/
Jon Arnar Magnusson,8255,10.65,7.44,14.89,2.01,47.93,14.21,45.04,4.8,59.98,297.78,https://www.decathlon2000.com/739/talence-1997/
Sebastian Chmara,8177,11.25,7.43,15.13,2.07,49.06,14.47,42.88,5.2,52.6,278.11,https://www.decathlon2000.com/739/talence-1997/
Kamil Damašek,8173,10.96,7.23,15.23,2.01,47.88,14.76,43.42,4.8,55.62,266.46,https://www.decathlon2000.com/739/talence-1997/
Indrek Kaseorg,8107,11.35,7.43,13.71,2.01,48.85,14.42,41.44,4.7,64.46,265.58,https://www.decathlon2000.com/739/talence-1997/
Lev Lobodin,7999,10.94,7.17,14.45,2.04,49.34,14.36,43.94,5.0,52.14,288.76,https://www.decathlon2000.com/739/talence-1997/
Ramil Ganiyev,7988,11.04,7.31,13.36,2.04,49.54,14.76,44.68,5.2,52.86,286.36,https://www.decathlon2000.com/739/talence-1997/
Jörg Goedicke,7804,11.13,7.08,14.46,2.01,50.94,14.59,41.64,5.1,54.86,293.6,https://www.decathlon2000.com/739/talence-1997/
Pierre Alexandre Vial,7684,10.98,7.05,12.35,1.89,48.32,14.85,41.38,5.0,50.22,276.47,https://www.decathlon2000.com/739/talence-1997/
Jon Arnar Magnusson,8410,10.71,7.61,16.61,2.04,47.75,14.4,39.84,5.0,59.99,286.67,https://www.decathlon2000.com/740/talence-1998/
Sebastian Chmara,8303,11.08,7.34,15.49,2.07,48.33,14.25,42.8,5.2,56.59,282.66,https://www.decathlon2000.com/740/talence-1998/
Lev Lobodin,8290,10.99,7.36,14.91,2.07,49.61,14.24,46.42,5.2,56.36,286.07,https://www.decathlon2000.com/740/talence-1998/
Eduard Hämäläinen,8200,11.0,7.17,15.75,2.04,48.11,14.2,47.87,5.0,52.94,295.09,https://www.decathlon2000.com/740/talence-1998/
Roman Šebrle,8056,10.99,7.77,14.02,2.04,50.46,14.23,42.0,4.8,58.42,290.76,https://www.decathlon2000.com/740/talence-1998/
Sebastien Levicq,7804,11.32,6.63,14.17,1.92,51.84,14.61,40.64,5.4,66.48,286.79,https://www.decathlon2000.com/740/talence-1998/
Jack Rosendaal,7486,11.34,7.08,13.36,1.92,52.44,14.54,40.83,4.6,59.46,287.48,https://www.decathlon2000.com/740/talence-1998/
Kamil Damašek,7386,11.38,6.81,14.83,1.92,50.13,15.39,28.98,4.6,51.69,281.87,https://www.decathlon2000.com/740/talence-1998/
