Athlete_Name,Total_Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Pole_Vault,Discus,Javelin,1500m,Source_URL
Nikolas Sorich,5787,11.14,6.52,10.77,1.62,52.73,16.88,3.40,31.11,47.11,325.12,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Justice McDermont,5763,11.51,5.67,9.97,1.62,50.42,16.39,3.00,28.85,45.94,273.62,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Blake DaQuino,4944,11.55,5.41,11.51,1.62,55.24,0.0,3.80,40.46,41.60,331.57,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Anders Larsen,4750,10.87,6.45,12.21,1.83,51.66,0.0,0,35.95,49.36,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jeffrey O'Brien,4670,11.24,6.35,12.70,1.74,50.43,18.17,0,40.21,0,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Dimitry Yakoushkin,2955,12.23,5.66,10.81,1.56,0.0,0.0,0,30.85,36.10,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Garrett Ross,6559,11.15,6.30,11.02,1.81,49.88,15.27,3.55,35.41,46.34,283.75,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Adolfo Mireles,6394,10.99,6.35,12.67,1.66,52.75,16.22,4.25,31.50,40.03,279.56,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Kemal Benjamin,5988,10.91,6.32,9.91,1.60,49.26,15.22,2.65,32.34,41.00,294.57,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jake McMillan,5984,10.92,6.58,10.86,1.99,51.16,14.57,0,26.55,39.55,299.61,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Sage Robertson,5481,11.02,6.34,11.08,1.78,51.22,16.35,0,24.22,47.40,320.32,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Zane Hopf,5069,11.74,5.82,10.08,1.69,56.05,16.83,3.15,26.36,42.72,345.82,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Courtney Williams,6506,11.4,6.86,12.13,1.90,51.18,15.08,3.80,38.13,44.68,346.23,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nicholas Stade,6289,11.41,6.47,11.13,1.90,51.23,15.7,4.30,29.88,33.40,306.72,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Asa Keim,6048,12.19,5.80,12.32,1.84,53.61,16.95,4.30,38.24,45.97,318.55,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Ethan Norris,5904,12.2,6.17,11.07,1.84,53.33,15.71,4.00,30.52,39.11,310.21,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Vaughn Hafner,5841,11.69,5.90,13.30,1.93,54.97,16.93,3.60,38.46,43.60,358.84,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Joe Probst,5816,11.32,6.46,9.53,1.69,50.32,14.67,3.60,27.70,25.90,313.52,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Alexander Taylor,5732,12.04,6.09,12.19,1.87,56.14,16.76,3.50,38.66,37.45,320.08,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Shaw Walker,5319,11.71,5.62,11.11,1.63,53.22,18.86,4.30,26.06,36.18,316.38,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Bridger Lynch,5237,12.69,5.74,8.72,1.78,55.13,16.62,4.00,26.01,36.36,308.46,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Colin Johnson,5139,12.35,5.53,11.21,1.69,53.31,21.91,3.50,28.14,47.33,287.88,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
William Ventling,4910,12.05,5.96,11.93,1.60,60.38,17.42,3.40,29.26,41.72,358.67,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Joel Tezak,4184,12.49,0,10.21,1.87,55.49,20.2,3.10,27.04,31.70,326.38,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Ryan Pollyea,3925,11.24,6.44,10.89,1.84,0.0,16.12,0,32.53,0,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jameson Rembert,3904,12.29,5.53,11.68,1.81,54.69,17.67,0,28.35,0,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Hayes Cox,6401,10.75,7.04,13.10,1.83,53.7,15.99,3.44,40.84,41.15,342.34,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Isaac Pratt,6143,11.08,6.68,11.74,1.71,51.11,16.4,3.54,32.23,48.22,329.33,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Che Rochford,6089,10.74,6.23,14.15,1.80,0.0,15.17,3.34,41.61,50.98,293.39,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Elijah Smith,5499,11.38,6.45,9.01,1.89,53.63,18.79,3.34,28.02,42.03,318.32,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Isaac Chapman,4676,11.68,6.24,13.46,1.71,54.22,0.0,0,38.94,32.10,315.84,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
