Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Edgars Erinš,7643,11.1,6.65,13.85,1.8,49.39,14.94,46.6,4.4,53.86,254.49,https://www.decathlon2000.com/3912/kladno-2016/
Brent Newdick,7474,11.19,6.99,13.21,1.89,50.64,14.91,41.26,4.6,57.22,286.86,https://www.decathlon2000.com/3912/kladno-2016/
Viktor Fajoyomi,7177,11.6,7.06,13.25,2.1,51.68,15.33,38.97,4.4,45.0,293.04,https://www.decathlon2000.com/3912/kladno-2016/
Kerinde da Silva,7121,10.84,7.0,12.2,1.95,49.1,15.16,33.9,4.1,43.64,282.54,https://www.decathlon2000.com/3912/kladno-2016/
Simon Ziegler,7041,11.16,6.77,11.9,1.83,49.54,15.58,30.32,4.7,50.64,277.13,https://www.decathlon2000.com/3912/kladno-2016/
Larbi Bourrada,8120,10.76,7.26,12.4,2.05,48.47,14.26,40.17,4.8,62.49,272.34,https://www.decathlon2000.com/4008/kladno-2017/
Willem Coertzen,7804,11.12,7.23,13.38,1.9,49.82,14.53,42.56,4.2,66.77,271.11,https://www.decathlon2000.com/4008/kladno-2017/
Martin Roe,7741,10.87,6.92,15.24,1.96,50.38,15.27,40.89,4.5,63.65,287.35,https://www.decathlon2000.com/4008/kladno-2017/
Lars Vikan Rise,7570,11.37,7.01,14.82,1.93,51.38,15.82,42.5,4.5,61.34,274.4,https://www.decathlon2000.com/4008/kladno-2017/
Rene Stauss,7508,11.24,6.73,14.33,1.99,51.32,15.54,42.19,4.8,56.05,288.12,https://www.decathlon2000.com/4008/kladno-2017/
Keegan Cooke,7038,11.55,6.85,12.81,1.87,49.83,15.27,36.3,4.0,50.06,270.64,https://www.decathlon2000.com/4008/kladno-2017/
Jan Doležal,8033,11.06,7.22,14.84,1.99,49.73,14.72,47.45,4.9,56.69,284.89,https://www.decathlon2000.com/4026/kladno-2018/
Luiz Alberto de Araujo,7954,10.92,7.12,14.22,1.93,49.88,14.5,46.41,4.8,56.45,278.37,https://www.decathlon2000.com/4026/kladno-2018/
Marek Lukaš,7814,11.09,6.97,14.58,1.9,51.38,14.75,42.59,4.8,64.66,279.72,https://www.decathlon2000.com/4026/kladno-2018/
Ben Gregory,7582,11.45,7.03,13.34,1.9,49.84,14.76,39.84,4.8,54.52,272.46,https://www.decathlon2000.com/4026/kladno-2018/
John Lane,7545,10.89,7.28,13.41,1.96,48.93,14.68,40.8,4.8,52.88,328.77,https://www.decathlon2000.com/4026/kladno-2018/
Reinis Kregers,7487,11.23,7.01,13.8,1.93,50.79,15.76,43.93,4.5,57.35,282.82,https://www.decathlon2000.com/4026/kladno-2018/
